sample_id,satellite_id,position_error_m,velocity_error_mps,delta_v_mps,success
62,SAT-2,172.48691589039436,0.009620620177216039,0.017606125542512074,True
62,SAT-3,300.3890163999379,0.007337132660179789,0.02124403156758432,True
63,SAT-1,330.84334878011765,0.013450833200188889,0.028767654902972114,True
63,SAT-2,489.7441318819501,0.010541518226627326,0.0332148576656065,True
63,SAT-3,834.0858706465275,0.012136380759887763,0.05075146736389366,True
64,SAT-1,222.98728731671045,0.011909871305691372,0.022233356829613152,True
64,SAT-2,580.7435487508395,0.016293077026893876,0.043179352432025336,True
64,SAT-3,492.2461553587861,0.0044073691126109,0.02719654297181396,True
65,SAT-1,243.69737920859274,0.0036614886264709073,0.014943774700942793,True
65,SAT-2,315.12218843099055,0.0069476266124633415,0.021536616817601793,True
65,SAT-3,632.4865729043598,0.00990713032997629,0.03918891611258554,True
66,SAT-1,651.9757223743876,0.008714019065783523,0.038898080286819986,True
66,SAT-2,310.44055098087904,0.004411053692581363,0.018783301423177613,True
66,SAT-3,574.1051038335089,0.010311972661761534,0.036890912654053615,True
67,SAT-1,603.3596089143984,0.011256194091434347,0.03918950931895279,True
67,SAT-2,333.1804360070542,0.00637105751133075,0.021796077696842518,True
67,SAT-3,604.2324081681924,0.006573235992265532,0.03454695859264481,True
68,SAT-1,402.88215677976933,0.010001045496871239,0.028652997199638337,True
68,SAT-2,495.8321847720497,0.008567645787596891,0.031522839527043635,True
68,SAT-3,389.40004011038735,0.0034643426313632937,0.021492122266103447,True
69,SAT-1,477.5193595609501,0.01000221062848644,0.03210958838593783,True
69,SAT-2,278.3940084538188,0.007127052663511978,0.02001566416600359,True
69,SAT-3,549.7647565863967,0.011103669501282764,0.0365557415654678,True
70,SAT-1,438.4334828133296,0.012535625146960617,0.03283347157350365,True
70,SAT-2,268.270123529233,0.008500099980775543,0.02092001310712892,True
70,SAT-3,530.122435814657,0.00891694841818237,0.033459653779972044,True
71,SAT-1,376.5993605843595,0.008289625734471536,0.025724781317080773,True
71,SAT-2,168.65000912503135,0.005735343552417676,0.013543214345243202,True
71,SAT-3,307.47480817094765,0.004116217454596968,0.018351162277326027,True
72,SAT-1,338.41289462051265,0.0066915001452824766,0.022358763785121024,True
72,SAT-2,377.9889871350753,0.008089933684475326,0.0255894238296177,True
72,SAT-3,737.9408181317918,0.00690216782343682,0.04106609458879755,True
73,SAT-1,314.21796751409005,0.007901667637261866,0.022448795762914184,True
73,SAT-2,392.93724556064734,0.010933296196762862,0.029124835343089128,True
73,SAT-3,305.27675671219924,0.00954044083721313,0.023673624018333464,True
74,SAT-1,674.0952324100181,0.002891678112531847,0.03409979072410676,True
74,SAT-2,354.5007772004347,0.013225230606557769,0.02963730362509641,True
74,SAT-3,280.77553676038644,0.002691195864755391,0.015690063307365873,True
75,SAT-1,225.75181937890216,0.012440370118549643,0.02289184323794326,True
75,SAT-2,83.97427099261424,0.005081651917816059,0.008969349648955606,True
75,SAT-3,137.42434054407155,0.009568282082616494,0.015930520070767954,True
76,SAT-1,448.9294173335302,0.006526831278507223,0.027310600599503992,True
76,SAT-2,204.76738704170754,0.005418459284253781,0.014898430906555056,True
76,SAT-3,638.3304375294183,0.009178853786520828,0.03873118885732723,True
77,SAT-1,291.30299761344804,0.006179292379619984,0.019665542269131468,True
77,SAT-2,458.36136596533606,0.007599897131958001,0.0288203307414643,True
77,SAT-3,776.8992956683935,0.005297587522635009,0.04126514750728286,True
78,SAT-1,466.1950413347146,0.013402810594525368,0.03498591436002141,True
78,SAT-2,302.9337608806505,0.009293939451237068,0.023318650603119037,True
78,SAT-3,620.4182497979137,0.007865634327283494,0.03658870144755728,True
79,SAT-1,94.96143430594691,0.0063311000895022625,0.010727462788851658,True
79,SAT-2,68.55674869419654,0.010066081717085106,0.013240005267742353,True
79,SAT-3,694.8737288570239,0.0065487226421812456,0.03871880268185828,True
80,SAT-1,437.6616830364289,0.009535534653673516,0.029797649609063743,True
80,SAT-2,288.44258920218454,0.011335456534853721,0.024689280109028933,True
80,SAT-3,679.607543998137,0.005601660058379961,0.03706497228051593,True
81,SAT-1,403.3431161657324,0.009696781311848559,0.028370073726928763,True
81,SAT-2,446.34639060012597,0.004980653364347032,0.025644838114352864,True
81,SAT-3,511.9820179638254,0.007701832746383772,0.03140470394841272,True
82,SAT-1,523.3605248202937,0.002965238412020245,0.027194892338885696,True
82,SAT-2,316.1240538996297,0.002820453894319029,0.017455826760042627,True
82,SAT-3,390.85457930330745,0.012670316168761648,0.030765435580951808,True
83,SAT-1,478.274243850105,0.006586109579507199,0.028728435683678725,True
83,SAT-2,515.6568921460031,0.005653590046116929,0.02952659431213559,True
83,SAT-3,165.65439779236746,0.008966733357938277,0.016635918440918253,True
84,SAT-1,160.43249258168797,0.007751016616185322,0.015178446828300506,True
84,SAT-2,640.7679298428673,0.009994214184856527,0.039659396122026305,True
84,SAT-3,559.3197054082422,0.00849976491802486,0.034394195723962,True
85,SAT-1,333.2169388805611,0.01340127916619279,0.0288279892995521,True
85,SAT-2,635.1716003279454,0.00877112588219543,0.03817721848997068,True
85,SAT-3,434.2578397396204,0.003953974468260837,0.024058504085835854,True
86,SAT-1,341.80541422269,0.010540107568216626,0.026364432300748572,True
86,SAT-2,404.80398924163376,0.00515260240596499,0.023893527833818404,True
86,SAT-3,364.17579723690955,0.004910198301284907,0.021770188914104795,True
87,SAT-1,293.23886094855123,0.0014701827615956889,0.015046055953658245,True
87,SAT-2,301.1469724458203,0.012314154063311471,0.026256143528395746,True
87,SAT-3,391.38621872559645,0.0033246011907554574,0.0214443335391627,True
88,SAT-1,290.0110311353564,0.0075609925684053305,0.0209874291950422,True
88,SAT-2,298.4329444587497,0.008985887318161226,0.022802227339399638,True
88,SAT-3,316.22681997172737,0.0051963556249934525,0.01983648617924009,True
89,SAT-1,411.6624622784426,0.006704154475012385,0.02576260180271806,True
89,SAT-2,611.3695982733185,0.007972627827449794,0.03627677589565898,True
89,SAT-3,825.6841890141058,0.004703270017206078,0.042929389878970235,True
90,SAT-1,428.6011457671943,0.005799658088478722,0.02564230372584883,True
90,SAT-2,213.20619015899368,0.003947036152018379,0.013817693103823643,True
90,SAT-3,526.209323866993,0.006845456761202172,0.031206999532822223,True
91,SAT-1,190.99994139032194,0.00484375760834247,0.01368634748752404,True
91,SAT-2,29.242374275721208,0.0010488900822039648,0.0024027037060799466,True
91,SAT-3,383.38619200294306,0.00808860089817691,0.025837961639053903,True
92,SAT-1,511.2593094570085,0.005945128192440175,0.02961454066730168,True
92,SAT-2,255.07176855197218,0.015622456104161788,0.027431334277864206,True
92,SAT-3,284.98169712792736,0.008077446332506885,0.02127104342176278,True
93,SAT-1,328.8687081854749,0.006350404511153457,0.021575807667888407,True
93,SAT-2,540.744072023933,0.00831941535757458,0.03335386313646037,True
93,SAT-3,442.64535243484454,0.00979992976259297,0.030292770153095033,True
94,SAT-1,273.5768315397972,0.00843096394263456,0.02109655799540295,True
94,SAT-2,376.0119985481389,0.009218014366752049,0.02662597726249922,True
94,SAT-3,458.69049569830605,0.002679425499960893,0.02391509659710469,True
