sample_id,density_scale,drag_coefficient,ballistic_coefficient_m2_per_kg,semi_major_axis_delta_m,altitude_delta_m,along_track_shift_km,ground_distance_delta_km,command_distance_delta_km,within_tolerance
34,0.9163854052378405,2.2673226860087774,0.006666666666666667,-0.029026217758655548,-0.029026217758655548,0.004103484779789985,0.0005498102725660804,0.004103484779789985,True
35,1.2956123903365298,2.275661677523081,0.006666666666666667,-0.04118904657661915,-0.04118904657661915,0.00582296427349897,0.0007801967708331234,0.00582296427349897,True
36,0.936948566334591,2.217927363560279,0.006666666666666667,-0.029031001962721348,-0.029031001962721348,0.00410416113828531,0.0005499008952608442,0.00410416113828531,True
37,1.1608582908745442,2.08392191953086,0.006666666666666667,-0.033795556984841824,-0.033795556984841824,0.00477773434543861,0.0006401503998872799,0.00477773434543861,True
38,1.0201284188534254,2.0827565623351467,0.006666666666666667,-0.02968194242566824,-0.02968194242566824,0.004196185755822217,0.0005622309227291917,0.004196185755822217,True
39,1.4089059290251342,2.416419441198609,0.006666666666666667,-0.04756125155836344,-0.04756125155836344,0.006723813541557132,0.000900898127897097,0.006723813541557132,True
40,1.1521632012049174,2.184486229893041,0.006666666666666667,-0.03516108449548483,-0.03516108449548483,0.004970781264960878,0.0006660160202408207,0.004970781264960878,True
41,0.8811478784798177,2.182267651169323,0.006666666666666667,-0.02686307765543461,-0.02686307765543461,0.0037976780311366766,0.0005088363928388532,0.0037976780311366766,True
42,1.0306214139320482,2.186646977973324,0.006666666666666667,-0.031483049504458904,-0.031483049504458904,0.004450811162587546,0.000596347209692259,0.004450811162587546,True
43,1.1421352572654733,2.2324136553632385,0.006666666666666667,-0.035619773901999,-0.035619773901999,0.0050356268922422094,0.0006747044384813025,0.0050356268922422094,True
44,0.8288927707767683,2.2533382301724054,0.006666666666666667,-0.02609298098832369,-0.02609298098832369,0.0036888082047242814,0.0004942493400907047,0.0036888082047242814,True
45,1.1263657287531836,2.264776952842265,0.006666666666666667,-0.03563722036778927,-0.03563722036778927,0.005038093283030977,0.0006750349007748403,0.005038093283030977,True
46,0.9901623707064813,2.200422553609237,0.006666666666666667,-0.03043767437338829,-0.03043767437338829,0.004303024818773896,0.0005765458812277518,0.004303024818773896,True
47,1.1798906523717736,2.0962983201570227,0.006666666666666667,-0.034553639590740204,-0.034553639590740204,0.004884905679726349,0.0006545098781546827,0.004884905679726349,True
48,1.2216769745022154,2.2634994247158446,0.006666666666666667,-0.038630980998277664,-0.038630980998277664,0.005461326202071799,0.000731742265140569,0.005461326202071799,True
49,1.136963342227228,2.2578146584382623,0.006666666666666667,-0.03586193360388279,-0.03586193360388279,0.005069861357237456,0.0006792913838558517,0.005069861357237456,True
50,0.9080158404987319,2.157798104155682,0.006666666666666667,-0.027371789328753948,-0.027371789328753948,0.003869595493528267,0.0005184723392896658,0.003869595493528267,True
51,1.1250639459398981,2.3110017488845145,0.006666666666666667,-0.03632255923002958,-0.03632255923002958,0.005134980825959876,0.0006880164930664345,0.005134980825959876,True
52,1.250960403861654,2.202901314911608,0.006666666666666667,-0.038497946225106716,-0.038497946225106716,0.005442518917323236,0.0007292223487990333,0.005442518917323236,True
53,1.0748147919586664,2.1045553553732677,0.006666666666666667,-0.03160042688250542,-0.03160042688250542,0.0044674049930704535,0.0005985705537401416,0.0044674049930704535,True
54,0.973408581175162,2.3269084598688754,0.006666666666666667,-0.031642692163586617,-0.031642692163586617,0.004473380163974243,0.0005993711440967628,0.004473380163974243,True
55,0.7416663612698893,2.1308256162466366,0.006666666666666667,-0.022077782079577446,-0.022077782079577446,0.003121172941698019,0.00041819405648890686,0.003121172941698019,True
56,0.943193849594032,2.186098908727634,0.006666666666666667,-0.028805122710764408,-0.028805122710764408,0.004072228161930805,0.0005456223175700516,0.004072228161930805,True
57,0.6739888327995032,2.233051736548249,0.006666666666666667,-0.021025698632001877,-0.021025698632001877,0.0029724380859226978,0.00039826564052483177,0.0029724380859226978,True
58,0.8253036405919567,2.289779405105042,0.006666666666666667,-0.026400147937238216,-0.026400147937238216,0.0037322329131329593,0.000500067651123285,0.0037322329131329593,True
59,0.9319840673840554,2.190333954763914,0.006666666666666667,-0.02851791586726904,-0.02851791586726904,0.00403162535776073,0.0005401821027220174,0.00403162535776073,True
60,1.2834878697440095,2.1780545686502957,0.006666666666666667,-0.039053456857800484,-0.039053456857800484,0.0055210523318001145,0.0007397447414326639,0.0055210523318001145,True
61,1.0618549583309542,2.0084441894891882,0.006666666666666667,-0.029793664813041687,-0.029793664813041687,0.004211980135497732,0.000564347151412962,0.004211980135497732,True
62,1.5180580921363291,2.1994903174327782,0.006666666666666667,-0.04664546251296997,-0.04664546251296997,0.006594346917479578,0.0008835513887979615,0.006594346917479578,True
63,0.9089377781150414,2.214757800548852,0.006666666666666667,-0.028122851625084877,-0.028122851625084877,0.0039757744285110015,0.0005326988497597792,0.0039757744285110015,True
64,1.1266179074645155,2.280274576064661,0.006666666666666667,-0.03588911518454552,-0.03588911518454552,0.005073704096663281,0.0006798062578530744,0.005073704096663281,True
65,0.9789732369937205,2.194233452143862,0.006666666666666667,-0.030009075067937374,-0.030009075067937374,0.004242433017690553,0.0005684274169329708,0.004242433017690553,True
66,1.0745621977158817,2.048952754067412,0.006666666666666667,-0.030758309178054333,-0.030758309178054333,0.004348353562693312,0.000582619306715317,0.004348353562693312,True
67,1.0157262503019933,2.342788226269571,0.006666666666666667,-0.03324364684522152,-0.03324364684522152,0.0046997097904248105,0.0006296961873920213,0.0046997097904248105,True
68,1.177032809045795,2.2863323266829756,0.006666666666666667,-0.03759472258388996,-0.03759472258388996,0.005314828562052753,0.0007121136051816348,0.005314828562052753,True
69,1.3602362417999467,2.3059281277585733,0.006666666666666667,-0.04381865728646517,-0.04381865728646517,0.006194716689589568,0.0008300064589851364,0.006194716689589568,True
70,1.229398809263186,2.1591610760728064,0.006666666666666667,-0.0370831647887826,-0.0370831647887826,0.00524250884229535,0.0007024237618008204,0.00524250884229535,True
71,1.299223350338962,2.106133007392159,0.006666666666666667,-0.03822685498744249,-0.03822685498744249,0.005404194229835916,0.0007240873701152592,0.005404194229835916,True
72,1.0566210465686028,2.2742778996335433,0.006666666666666667,-0.033570803701877594,-0.033570803701877594,0.004745960558086845,0.000635893151323725,0.004745960558086845,True
73,1.0649214747060602,2.0368261952276767,0.006666666666666667,-0.03030194528400898,-0.03030194528400898,0.0042838365711101315,0.0005739749211184226,0.0042838365711101315,True
74,1.0720566801152103,2.3334143920287342,0.006666666666666667,-0.034946893341839314,-0.034946893341839314,0.0049405005561919,0.0006619588235811031,0.0049405005561919,True
75,0.8124159924289958,2.186530576942583,0.006666666666666667,-0.02481606788933277,-0.02481606788933277,0.0035082889143718894,0.0004700622489819706,0.0035082889143718894,True
76,0.8726293421426068,2.402828402376368,0.006666666666666667,-0.029292168095707893,-0.029292168095707893,0.004141082729228096,0.0005548478783908427,0.004141082729228096,True
77,0.9092250596141848,2.0809090763417726,0.006666666666666667,-0.02643160056322813,-0.02643160056322813,0.0037366795579843472,0.0005006634401048324,0.0037366795579843472,True
78,0.5949152018067589,2.2312055518851635,0.006666666666666667,-0.018543580546975136,-0.018543580546975136,0.0026215369621509052,0.0003512497374916573,0.0026215369621509052,True
79,0.8916314812636006,2.153773641320742,0.006666666666666667,-0.02682776004076004,-0.02682776004076004,0.00379268513168943,0.0005081674132877394,0.00379268513168943,True
80,0.9638173461707593,2.261443159018316,0.006666666666666667,-0.03044944442808628,-0.03044944442808628,0.004304688772338414,0.0005767688280185748,0.004304688772338414,True
81,1.2021919694301881,2.1759853171695327,0.006666666666666667,-0.036545065231621265,-0.036545065231621265,0.005166436884527219,0.0006922311703621672,0.005166436884527219,True
82,0.8220316616192026,2.1415105293675394,0.006666666666666667,-0.02459278516471386,-0.02459278516471386,0.0034767230076020047,0.0004658328535446043,0.0034767230076020047,True
83,1.3545361522730333,2.109640485335941,0.006666666666666667,-0.0399206867441535,-0.0399206867441535,0.0056436540924398116,0.0007561716836663435,0.0056436540924398116,True
84,1.054549792723264,1.9420487776469093,0.006666666666666667,-0.02861054800450802,-0.02861054800450802,0.004044720925509711,0.0005419367278905901,0.004044720925509711,True
85,1.0613863023118821,2.2136251970637453,0.006666666666666667,-0.03282286785542965,-0.03282286785542965,0.004640223612798503,0.0006217258613667573,0.004640223612798503,True
86,0.871251595745005,1.9358426969329658,0.006666666666666667,-0.023562024347484112,-0.023562024347484112,0.003331002744874474,0.00044630835140359115,0.003331002744874474,True
87,1.1333353102163444,2.3415930294531413,0.006666666666666667,-0.03707394376397133,-0.03707394376397133,0.0052412053362606865,0.0007022491099995662,0.0052412053362606865,True
88,0.9243110752215276,2.186760403247969,0.006666666666666667,-0.02823698427528143,-0.02823698427528143,0.003991909519396293,0.000534860729038877,0.003991909519396293,True
89,0.6083075274468156,2.34646645367706,0.006666666666666667,-0.019940520636737347,-0.019940520636737347,0.0028190246835350648,0.00037771036394687135,0.0028190246835350648,True
90,1.3264382251503213,2.1925609977693443,0.006666666666666667,-0.040629143826663494,-0.040629143826663494,0.005743809814160672,0.0007695911667675375,0.005743809814160672,True
91,1.1000848295874812,2.20622671650812,0.006666666666666667,-0.03390589915215969,-0.03390589915215969,0.004793333569264926,0.0006422404803832542,0.004793333569264926,True
92,0.7954993164445621,2.0944111149567024,0.006666666666666667,-0.023275590501725674,-0.023275590501725674,0.0032905091396858875,0.00044088276771053807,0.0032905091396858875,True
93,1.0676579128834784,2.087026786173677,0.006666666666666667,-0.031128564849495888,-0.031128564849495888,0.0044006971401143406,0.0005896326229851077,0.0044006971401143406,True
94,0.8845582461490983,2.2261619295147934,0.006666666666666667,-0.027509464882314205,-0.027509464882314205,0.003889059010919442,0.0005210801817397319,0.003889059010919442,True
95,1.0689535940510164,2.1284525620277743,0.006666666666666667,-0.031784968450665474,-0.031784968450665474,0.004493494071018534,0.0006020661297754853,0.004493494071018534,True
96,0.9309141442478693,2.284583061501865,0.006666666666666667,-0.029710881412029266,-0.029710881412029266,0.004200276887223769,0.0005627790778197305,0.004200276887223769,True
97,0.6898896757336831,2.071070298219544,0.006666666666666667,-0.019960593432188034,-0.019960593432188034,0.0028218624287674153,0.0003780905826057429,0.0028218624287674153,True
98,1.0751171679952392,2.216521998971309,0.006666666666666667,-0.03329099714756012,-0.03329099714756012,0.004706403778880936,0.0006305930893704916,0.004706403778880936,True
99,1.0929865975092354,2.1365035850357996,0.006666666666666667,-0.032622513361275196,-0.032622513361275196,0.0046118991369131015,0.0006179307728889001,0.0046118991369131015,True
100,0.889538691109764,2.411243600606685,0.006666666666666667,-0.029964352026581764,-0.029964352026581764,0.0042361103836780125,0.0005675802713198346,0.0042361103836780125,True
101,0.9259889450406633,2.275243018583449,0.006666666666666667,-0.029432865791022778,-0.029432865791022778,0.0041609734340736036,0.0005575129580583733,0.0041609734340736036,True
102,0.6841180873745019,2.2033886618253686,0.006666666666666667,-0.02105819433927536,-0.02105819433927536,0.0029770321039536193,0.0003988811754765378,0.0029770321039536193,True
103,0.8083837608951412,2.1483942580348803,0.006666666666666667,-0.024262218736112118,-0.024262218736112118,0.0034299903880727887,0.00045957132811928026,0.0034299903880727887,True
104,0.7959006785972647,2.1698283617411125,0.006666666666666667,-0.024125882424414158,-0.024125882424414158,0.003410716183541314,0.000456988850977136,0.003410716183541314,True
105,0.8580827939540888,2.1545344139928075,0.006666666666666667,-0.02582745347172022,-0.02582745347172022,0.0036512701134674614,0.0004892197544353196,0.0036512701134674614,True
106,1.0186214464818792,2.2065227934943255,0.006666666666666667,-0.031399316154420376,-0.031399316154420376,0.004438973655399364,0.0005947611472592529,0.004438973655399364,True
107,1.195560953895269,2.1340356204337105,0.006666666666666667,-0.0356428436934948,-0.0356428436934948,0.005038888189290983,0.0006751414072323836,0.005038888189290983,True
108,0.8978203723717976,2.354558792319928,0.006666666666666667,-0.029532345943152905,-0.029532345943152905,0.004175036990415912,0.0005593972803260945,0.004175036990415912,True
109,1.0589344848140079,2.323085726900375,0.006666666666666667,-0.03436634037643671,-0.03436634037643671,0.004858426939300928,0.0006509620927303994,0.004858426939300928,True
110,0.8830058773385991,2.3453206456060456,0.006666666666666667,-0.028931088745594025,-0.028931088745594025,0.004090036295475391,0.0005480083614531102,0.004090036295475391,True
111,0.47440970575172325,2.2124114364565695,0.006666666666666667,-0.01466285064816475,-0.01466285064816475,0.0020729115408424322,0.00027774151006703166,0.0020729115408424322,True
112,1.423268719859295,2.1670345802756255,0.006666666666666667,-0.043087540194392204,-0.043087540194392204,0.006091357451493849,0.0008161577489449499,0.006091357451493849,True
113,1.072224830986078,2.2611181751071623,0.006666666666666667,-0.03386944439262152,-0.03386944439262152,0.004788179792840197,0.000641549945539606,0.004788179792840197,True
114,1.1132305616859064,2.091751139502143,0.006666666666666667,-0.03253075107932091,-0.03253075107932091,0.00459892666147619,0.0006161926403896757,0.00459892666147619,True
115,1.2882516737873029,2.3554380170481326,0.006666666666666667,-0.04239077400416136,-0.04239077400416136,0.00599285451673536,0.0008029597164641531,0.00599285451673536,True
116,0.8153674508499604,2.0752379602566497,0.006666666666666667,-0.023638516664505005,-0.023638516664505005,0.0033418165603027908,0.0004477572532826488,0.0033418165603027908,True
117,1.0617101086007565,2.396562892978632,0.006666666666666667,-0.035546245984733105,-0.035546245984733105,0.005025232084082929,0.0006733116777878856,0.005025232084082929,True
118,0.7410348021385268,2.025853397636423,0.006666666666666667,-0.020972276106476784,-0.020972276106476784,0.0029648856973873653,0.00039725372479418574,0.0029648856973873653,True
119,1.0277084020639218,2.2022563957500885,0.006666666666666667,-0.03161817044019699,-0.03161817044019699,0.004469913453383598,0.000598906652768773,0.004469913453383598,True
120,1.118429037968298,2.0587137861915648,0.006666666666666667,-0.03216646704822779,-0.03216646704822779,0.004547427071426942,0.0006092924067683711,0.004547427071426942,True
121,1.004897663315457,2.121982838318896,0.006666666666666667,-0.029789461754262447,-0.029789461754262447,0.004211385838543786,0.0005642675238310972,0.004211385838543786,True
122,0.9604630541129813,2.1883537042904,0.006666666666666667,-0.02936277724802494,-0.02936277724802494,0.004151064762640469,0.0005561853329704845,0.004151064762640469,True
123,1.0625637407659132,2.2542709826371676,0.006666666666666667,-0.03346262965351343,-0.03346262965351343,0.004730667766598591,0.0006338441285278165,0.004730667766598591,True
124,0.8415259528933398,2.3801558895864816,0.006666666666666667,-0.027981556951999664,-0.027981556951999664,0.003955799454772526,0.0005300224792247304,0.003955799454772526,True
125,0.5522711267994386,2.0471021180258617,0.006666666666666667,-0.015793951228260994,-0.015793951228260994,0.002232817153782228,0.00029916665317180876,0.002232817153782228,True
126,0.8637567209890427,2.217077938200213,0.006666666666666667,-0.026752930134534836,-0.026752930134534836,0.0037821063342831016,0.0005067500005769526,0.0037821063342831016,True
127,0.8607083014991286,1.9992829965604617,0.006666666666666667,-0.02403970994055271,-0.02403970994055271,0.003398533939972813,0.0004553565986315561,0.003398533939972813,True
128,1.3429979052071312,2.2875691228832573,0.006666666666666667,-0.04291889350861311,-0.04291889350861311,0.006067515587306295,0.0008129632685091985,0.006067515587306295,True
129,1.2272731522598426,2.1122017587435167,0.006666666666666667,-0.036213924176990986,-0.036213924176990986,0.005119622852677678,0.0006859587368105969,0.005119622852677678,True
130,1.1923303323802636,2.5249819380513836,0.006666666666666667,-0.042058504186570644,-0.042058504186570644,0.0059458809063504476,0.0007966659015933536,0.0059458809063504476,True
131,1.103313061741964,2.246211825448874,0.006666666666666667,-0.03462170250713825,-0.03462170250713825,0.004894527784985709,0.0006557991073340777,0.004894527784985709,True
132,1.1534827035270776,2.3384253322055586,0.006666666666666667,-0.03768196515738964,-0.03768196515738964,0.005327162333815542,0.0007137661602119507,0.005327162333815542,True
133,1.08251484956643,2.178048089003498,0.006666666666666667,-0.03293823171406984,-0.03293823171406984,0.0046565326949265925,0.0006239110530687738,0.0046565326949265925,True
134,0.8536115786843783,2.134004162810768,0.006666666666666667,-0.02544805034995079,-0.02544805034995079,0.0035976332877044413,0.000482033160753387,0.0035976332877044413,True
