time_iso,FSAT-DP1,FSAT-DP2,FSAT-LDR
2026-03-21T09:20:25Z,3152.969954,3214.431000,3183.903840
2026-03-21T09:21:25Z,3465.831389,3534.147934,3500.254893
2026-03-21T09:22:25Z,3796.326736,3870.458588,3833.710958
2026-03-21T09:23:25Z,4140.069427,4219.148164,4179.973458
2026-03-21T09:24:25Z,4493.858598,4577.146681,4535.908729
2026-03-21T09:25:25Z,4855.338551,4942.195071,4899.210730
2026-03-21T09:26:25Z,5222.752813,5312.607389,5268.159223
2026-03-21T09:27:25Z,5594.771106,5687.104845,5641.450352
2026-03-21T09:28:25Z,5970.368507,6064.700421,6018.078598
2026-03-21T09:29:25Z,6348.740736,6444.618180,6397.254138
2026-03-21T09:30:25Z,6729.244199,6826.236211,6778.344381
2026-03-21T09:31:25Z,7111.352989,7209.045719,7160.832042
2026-03-21T09:32:25Z,7494.627532,7592.621174,7544.284568
2026-03-21T09:33:25Z,7878.691291,7976.598096,7928.331402
2026-03-21T09:34:25Z,8263.213064,8360.656135,8312.646680
2026-03-21T09:35:25Z,8647.893156,8744.505816,8696.935704
2026-03-21T09:36:25Z,9032.452215,9127.877792,9080.923995
2026-03-21T09:37:25Z,9416.621869,9510.513788,9464.348089
2026-03-21T09:38:25Z,9800.136471,9892.158563,9846.947391
2026-03-21T09:39:25Z,10182.725443,10272.552420,10228.456612
2026-03-21T09:40:25Z,10564.105773,10651.423815,10608.598321
2026-03-21T09:41:25Z,10943.974240,11028.481669,10987.075210
2026-03-21T09:42:25Z,11321.998965,11403.406982,11363.561685
2026-03-21T09:43:25Z,11697.809852,11775.843324,11737.694321
2026-03-21T09:44:25Z,-12070.987393,-12145.385698,-12109.060698
2026-03-21T09:45:25Z,-12441.049249,-12511.567185,-12477.186005
2026-03-21T09:46:25Z,-12807.433855,-12873.842653,-12841.516691
2026-03-21T09:47:25Z,-13169.480115,-13231.568611,-13201.400226
2026-03-21T09:48:25Z,-13526.402074,-13583.978150,-13556.059898
2026-03-21T09:49:25Z,-13877.257103,-13930.149541,-13904.563177
2026-03-21T09:50:25Z,-14220.906053,-14268.967051,-14245.782186
2026-03-21T09:51:25Z,-14555.963548,-14599.072258,-14578.344472
2026-03-21T09:52:25Z,-14880.736849,-14918.804477,-14900.572626
2026-03-21T09:53:25Z,-15193.152584,-15226.129789,-15210.412126
2026-03-21T09:54:25Z,-15490.672934,-15518.560536,-15505.349166
2026-03-21T09:55:25Z,-15770.207790,-15793.071961,-15782.325066
2026-03-21T09:56:25Z,-16028.038546,-16046.031561,-16037.662913
2026-03-21T09:57:25Z,-16259.783979,-16273.170753,-16267.036518
2026-03-21T09:58:25Z,-16460.458238,-16469.646604,-16465.530591
2026-03-21T09:59:25Z,-16624.687707,-16630.256168,-16627.856821
2026-03-21T10:00:25Z,-16747.147407,-16749.858468,-16748.783587
2026-03-21T10:01:25Z,-16823.221270,-16824.004972,-16823.781649
2026-03-21T10:02:25Z,-16849.771823,-16849.668577,-16849.773292
2026-03-21T10:03:25Z,-16825.777047,-16825.844543,-16825.750398
2026-03-21T10:04:25Z,-16752.568902,-16753.777362,-16753.005984
2026-03-21T10:05:25Z,-16633.560533,-16636.708452,-16634.870722
2026-03-21T10:06:25Z,-16473.588294,-16479.259596,-16476.075333
2026-03-21T10:07:25Z,-16278.138379,-16286.701358,-16281.998344
2026-03-21T10:08:25Z,-16052.695612,-16064.329647,-16058.029265
2026-03-21T10:09:25Z,-15802.320896,-15817.054405,-15809.152158
2026-03-21T10:10:25Z,-15531.447688,-15549.195626,-15539.742253
2026-03-21T10:11:25Z,-15243.834166,-15264.429506,-15253.515316
2026-03-21T10:12:25Z,-14942.604392,-14965.822295,-14953.565262
2026-03-21T10:13:25Z,-14630.329033,-14655.904491,-14642.441641
2026-03-21T10:14:25Z,-14309.116049,-14336.756458,-14322.237789
2026-03-21T10:15:25Z,-13980.696341,-14010.090407,-13994.674615
2026-03-21T10:16:25Z,-13646.498286,-13677.322409,-13661.173851
2026-03-21T10:17:25Z,-13307.709832,-13339.632805,-13322.919276
2026-03-21T10:18:25Z,-12965.329044,-12998.015641,-12980.906682
2026-03-21T10:19:25Z,-12620.204783,-12653.318640,-12635.984178
2026-03-21T10:20:25Z,-12273.069351,-12306.275394,-12288.884595
2026-03-21T10:21:25Z,-11924.564776,-11957.531382,-11940.251620
2026-03-21T10:22:25Z,-11575.264157,-11607.665158,-11590.661050
2026-03-21T10:23:25Z,-11225.689244,-11257.205858,-11240.638330
2026-03-21T10:24:25Z,-10876.325195,-10906.647939,-10890.673291
2026-03-21T10:25:25Z,-10527.633270,-10556.463899,-10541.232850
2026-03-21T10:26:25Z,-10180.062086,-10207.115598,-10192.772295
2026-03-21T10:27:25Z,-9834.057945,-9859.064680,-9845.745653
2026-03-21T10:28:25Z,-9490.074667,-9512.782547,-9500.615597
2026-03-21T10:29:25Z,-9148.583327,-9168.760276,-9157.863266
2026-03-21T10:30:25Z,-8810.082225,-8827.518823,-8817.998352
2026-03-21T10:31:25Z,-8475.107442,-8489.619870,-8481.569801
2026-03-21T10:32:25Z,-8144.244284,-8155.677651,-8149.177450
2026-03-21T10:33:25Z,-7818.139889,-7826.372024,-7821.484866
2026-03-21T10:34:25Z,-7497.517375,-7502.463205,-7499.233788
2026-03-21T10:35:25Z,-7183.191632,-7184.808260,-7183.260272
2026-03-21T10:36:25Z,-6876.086984,-6874.379625,-6874.512779
2026-03-21T10:37:25Z,-6577.256669,-6572.285547,-6574.072138
2026-03-21T10:38:25Z,-6287.903781,-6279.792110,-6283.173030
2026-03-21T10:39:25Z,-6009.402864,-5998.345906,-6003.226112
2026-03-21T10:40:25Z,-5743.320548,-5729.595595,-5735.839116
2026-03-21T10:41:25Z,-5491.432532,-5475.409364,-5482.834059
2026-03-21T10:42:25Z,-5255.732712,-5237.883626,-5246.256149
2026-03-21T10:43:25Z,-5038.428503,-5019.336355,-5028.368111
2026-03-21T10:44:25Z,-4841.914543,-4822.276479,-4831.621734
2026-03-21T10:45:25Z,-4668.716307,-4649.340073,-4658.597787
2026-03-21T10:46:25Z,-4521.395674,-4503.185039,-4511.906162
2026-03-21T10:47:25Z,-4402.415411,-4386.341785,-4394.043487
2026-03-21T10:48:25Z,-4313.968146,-4301.027460,-4307.214738
2026-03-21T10:49:25Z,-4257.787911,-4248.945346,-4253.138685
2026-03-21T10:50:25Z,4234.974613,4231.103990,4232.869624
2026-03-21T10:51:25Z,4245.867694,4247.695440,4246.673212
2026-03-21T10:52:25Z,4289.999298,4298.063103,4293.986889
